ObjectID,Name,OriginID,Destinatio,Destinat_1,Total_tota,Total_BusL,Total_time
11331,STORE-68 - STORE-94,68,94,142,71.07372716880,25.90297377690,7.10737255801
11332,STORE-68 - STORE-95,68,95,143,71.17966444680,25.90297377690,7.11796627327
11321,STORE-68 - STORE-96,68,96,132,66.87922819400,25.90297377690,6.68792266255
11337,STORE-68 - STORE-97,68,97,148,76.89834505730,25.90297377690,7.68983434657
11338,STORE-68 - STORE-98,68,98,149,76.89834505730,25.90297377690,7.68983434657
11334,STORE-68 - STORE-99,68,99,145,72.22590929860,25.90297377690,7.22259078634
11333,STORE-68 - STORE-100,68,100,144,72.03649613250,25.90297377690,7.20364946973
11339,STORE-68 - STORE-101,68,101,150,77.32284878690,25.90297377690,7.73228473009
11348,STORE-68 - STORE-102,68,102,159,84.06734728040,25.90297377690,8.40673457220
11343,STORE-68 - STORE-103,68,103,154,82.18598315510,25.90297377690,8.21859816057
11349,STORE-68 - STORE-104,68,104,160,89.27409812760,25.90297377690,8.92740966659
11354,STORE-68 - STORE-105,68,105,165,97.47047321100,25.90297377690,9.74704714989
11352,STORE-68 - STORE-106,68,106,163,95.61469686810,25.90297377690,9.56146951975
11350,STORE-68 - STORE-107,68,107,161,90.90918647290,25.90297377690,9.09091848189
11351,STORE-68 - STORE-108,68,108,162,93.06308990380,25.90297377690,9.30630884891
11356,STORE-68 - STORE-109,68,109,167,116.55471781800,25.90297377690,11.65547168310
11355,STORE-68 - STORE-110,68,110,166,107.75891009100,25.90297377690,10.77589093630
11335,STORE-68 - STORE-111,68,111,146,74.26628604190,25.90297377690,7.42662846375
11347,STORE-68 - STORE-112,68,112,158,83.93311786430,25.90297377690,8.39331166465
11344,STORE-68 - STORE-113,68,113,155,82.30332284800,25.90297377690,8.23033213000
11336,STORE-68 - STORE-114,68,114,147,74.57167330160,25.90297377690,7.45716719017
11279,STORE-68 - STORE-115,68,115,90,26.91440346820,25.90297377690,2.69144030576
11281,STORE-68 - STORE-116,68,116,92,28.58507603340,22.23648954240,2.85850758419
11249,STORE-68 - STORE-117,68,117,60,17.05828574810,21.23822192100,1.70582856104
11250,STORE-68 - STORE-118,68,118,61,17.24663258010,22.11413552630,1.72466324351
11270,STORE-68 - STORE-119,68,119,81,22.15596234390,20.66199381620,2.21559621006
11272,STORE-68 - STORE-120,68,120,83,23.19579298960,22.11252951900,2.31957927616
11274,STORE-68 - STORE-121,68,121,85,23.84840930770,20.66199381620,2.38484090418
11261,STORE-68 - STORE-122,68,122,72,18.49399770730,20.66199381620,1.84939974890
11255,STORE-68 - STORE-123,68,123,66,17.47577696320,22.42756833790,1.74757768233
11268,STORE-68 - STORE-124,68,124,79,20.33195121960,25.90297377690,2.03319510389
11289,STORE-68 - STORE-125,68,125,100,38.94313256930,25.84339152670,3.89431326768
11257,STORE-68 - STORE-126,68,126,68,17.59074056330,22.08329599400,1.75907404045
11262,STORE-68 - STORE-127,68,127,73,18.56807812410,24.33929356120,1.85680779952
